amount_in,amount_out,in_token,out_token,platform,timestamp,tx_hash,volume_usd,wallet,new_timestamp,latency,tim_in_sec,platform_encoded,price_out,price_change_pct,position_change,pl_pattern,consecutive_losses,consecutive_wins,hour,trade_freq,volume_spike,timesamp,time_diff,price_in,pnl,emotion,trigger_details
1.51464875,39368213.72,WSOL,CWC,pumpdotfun,2025-07-03 20:55:16,3d2rhF5z5xKFptAvaG6Xk778xjB3vkvbzBUukcojXb7Tp6AEhCJggxw6H1LB2AchhqPJ2edix34xi95R5XEBQkEv,231.1202528,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:55:16,0 days 00:00:18,18,0,5.870732526596332e-06,-99.99999615033933,-0.9999999615260992,6.899956000000003,1.0,2.0,2025-07-03 20:00:00,27,False,2025-07-03 20:55:16,0.3,152.5900000247582,-0.09000000435418087,revenge,"After loss: -173.07, latency: 0 days 00:00:18"
33950822.32,2.940594058,Birdjak,WSOL,pumpdotfun,2025-07-03 20:56:42,4ZDKs2eQtdMomJdUKebH3WCcVYhhEiSfwXSEWubqGXg8SXRXP5Z9X2Hrw6RPcinhcqn7RiXBsipR5xTQc2ptnwmT,448.7052473,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:56:42,0 days 00:01:26,86,0,152.5899999965245,2599164472.823614,22414979.582131665,217.5849945,1.0,2.0,2025-07-03 20:00:00,27,True,2025-07-03 20:56:42,1.4333333333333333,1.3216329285658374e-05,-7.345596759062041e-06,fomo,"Price spike: 2599164472.82%, latency: 0 days 00:01:26"
6189491.449,0.980198018,Birdjak,WSOL,pumpdotfun,2025-07-03 20:58:14,3ePvYWidKsoCXNJHQBAEbvRzoqbWFebKd2Eb9Y6XY9uoWMFsAGKohvwSPg4naa4Dj6g8yKU6QdCz8aooqFdwcNYx,149.5684156,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:58:14,0 days 00:01:32,92,0,152.59000003405436,2.4595214753730943e-08,-0.8176924437746579,-299.1368317,1.0,2.0,2025-07-03 20:00:00,27,False,2025-07-03 20:58:14,1.5333333333333334,2.4164895748287187e-05,152.58997583162878,neutral,
4006761.398,0.980198018,Birdjak,WSOL,pumpdotfun,2025-07-03 20:59:57,2Q9PUnavminMRGZM88X56xV4gzrVUnkkudX7uQdczSYA1G7rEZjiiGeegRMcNhuGrX3E8nJK5qEXG3rDKSGHGoeq,149.5684156,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 20:59:57,0 days 00:01:43,103,0,152.59000003405436,0.0,-0.3526509518569011,0.0,1.0,1.0,2025-07-03 20:00:00,27,False,2025-07-03 20:59:57,1.7166666666666666,3.7329004835341086e-05,152.58996270504952,revenge,"After loss: -299.14, latency: 0 days 00:01:43"
31605754.44,1.960396038,CryptoWeek,WSOL,pumpdotfun,2025-07-03 21:03:31,2SUHYjjKEBv5MA4Krmg4wKeL9iEBiGSkMApbHab8jmSPyRdxUpYtnrM3yD5aV3GuyYVfzp1h8CSFRYpV6kqmAjaw,299.4700988,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:03:31,0 days 00:03:34,214,0,152.76000001791476,0.11140964927089936,6.888104955732131,149.9016832,1.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:03:31,3.566666666666667,9.475176407147963e-06,152.58999055887796,neutral,
2775006.572,0.245049503,CryptoWeek,WSOL,pumpdotfun,2025-07-03 21:07:07,2EPUfHNAh5CvY6p2Lzuj6TFZMsn353PDP7XSpp2y3bbzRtNjJpUZhYynfeY2mzevoY8H1epcqWchQ74GCP37Qwhf,37.51462841,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:07:07,0 days 00:03:36,216,0,153.08999998257494,0.21602511431100258,-0.9121993250543017,-261.95547039,1.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:07:07,3.6,1.3518752996308219e-05,152.75998649916176,neutral,
2042070.233,0.245049503,CryptoWeek,WSOL,pumpdotfun,2025-07-03 21:09:59,56b3DxKn3DedhUf5qbtnQGKpYxtzmJiaQKbZK5Cmm7NZgcsVc9stEisUfWQ5TkDfm7MWavRjZoTgj1wWibZ8QbPv,37.51462841,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:09:59,0 days 00:02:52,172,0,153.08999998257494,0.0,-0.2641205777295723,0.0,1.0,1.0,2025-07-03 21:00:00,23,False,2025-07-03 21:09:59,2.8666666666666667,1.8370880591549175e-05,153.08998161169436,neutral,
2002581.739,0.245049503,CryptoWeek,WSOL,pumpdotfun,2025-07-03 21:10:56,2qhjWMTeUgzWcSnAUNDmqPTXPvBPzYqQioUZFfR2zCCQjFTxH2qtHuiBnbrDccsbgvdE4VxTBhiuheqDUaVx7QF6,37.47787099,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:10:56,0 days 00:00:57,57,0,152.94000000481535,-0.09798156494654764,-0.0193374808377611,-0.03675742000000071,2.0,0.0,2025-07-03 21:00:00,23,False,2025-07-03 21:10:56,0.95,1.8714777159964902e-05,153.08998126779778,neutral,
1825950.181,0.245049503,CryptoWeek,WSOL,pumpdotfun,2025-07-03 21:11:08,3YkecH17DhQFMdoSFckcpDCFUiZyDn4U7u1V7E79oSyXv3hKahELQRV7bwGYJWgzmb5vJiVtE8PDZGrDEp2uaghw,37.47787099,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:11:08,0 days 00:00:12,12,0,152.94000000481535,0.0,-0.08820192182926923,0.0,1.0,0.0,2025-07-03 21:00:00,23,False,2025-07-03 21:11:08,0.2,2.0525133368904327e-05,152.93997947968197,revenge,"After loss: -0.04, latency: 0 days 00:00:12"
2.576983604,40251363.16,WSOL,CryptoWeek,pumpdotfun,2025-07-03 21:18:55,dQb9WXoE2JcdPHBPkERhRHR6XZA7MgSJDnZcKPMNx57jhsBiL4Mqe126mFTyPchP7jBBFAfbmhH4RcUQ9DtANR9,394.1496422,DfMxre4cKmvogbLrPigxmibVTTQDuzjdXojWzjCXXhzj,2025-07-03 21:18:55,0 days 00:07:47,467,0,9.792206058543833e-06,-99.99999359735448,-0.9999985886889846,356.67177121000003,1.0,1.0,2025-07-03 21:00:00,23,True,2025-07-03 21:18:55,7.783333333333333,152.94999998766,-0.009999982844647093,neutral,
